NVDA
TSLA
AAPL
PLTR
AMZN
META
MSFT
MSTR
GOOGL
AVGO
BABA
NFLX
AMD
BULL
TSM
BRK.B
JPM
GOOG
UNH
MU
GS
WMT
LLY
HOOD
INTC
F
PDD
COST
APP
BAC
MA
TXN
WFC
V
XOM
PFE
JNJ
PG
NOW
CVX
SMCI
C
COIN
MRK
DELL
CRM
NKE
BA
ASML
BKNG
MCD
ABBV
CRWD
ADBE
SPOT
MRVL
VZ
TMO
GM
ORCL
AMAT
ACN
GE
TMUS
BLK
SHOP
QCOM
DIS
KO
KKR
PM
MS
BX
UBER
JD
HD
NEM
TGT
TJX
GEV
MCK
CAT
CSCO
MP
ANET
DHR
UNP
CMG
AAL
SBUX
FCX
ABT
URI
PANW
HLT
PEP
T
BMY
AXP
ISRG
IBM
TTD
LIN
CMCSA
NEE
MELI
CVNA
IONQ
MPWR
GOLD
SOFI
GILD
PGR
HON
LRCX
ETN
BBY
DDOG
NVO
NU
VST
KLAC
ORLY
SCHW
VRT
MARA
BSX
COP
UAL
AMGN
INTU
CME
LOW
WDAY
ADI
SLB
DE
CEG
DAL
STLA
USB
PYPL
VRTX
REGN
AGNC
OXY
BIDU
MO
MMM
PLD
KR
FUTU
AMCR
AON
ZTS
LULU
PNC
LMT
HIMS
MAR
MMC
ARGX
RTX
CVS
ADP
AEM
YUM
FI
SYK
SNPS
AZN
RDDT
DASH
ARM
CHTR
UPS
TFC
HUBS
SAP
APO
SE
TEAM
KDP
FLUT
EL
TEM
CCL
BP
CRL
HUM
TCOM
FAST
VALE
ABNB
MDT
SNOW
CTAS
ERIC
APH
MSI
