LNT
WRB
NTR
VRSK
FUTU
PRU
WPM
KMX
STRL
SNY
FLEX
ASTS
APLD
BIIB
W
SAIA
APTV
HES
ATO
AVTR
IAG
IEX
DEO
SGI
ALNY
MAA
AWK
LYFT
ALGN
DVA
AR
RBRK
SJM
CACI
WSO
WAT
BBWI
CTRA
STM
EXPD
JBL
FR
IR
EME
RHI
MNDY
RIOT
TPL
EVRG
HRB
TOL
HEI
NTES
GTLB
CLX
NTAP
TLN
TECH
WCC
CCEP
EXAS
SWKS
ACGL
ONON
FND
NTRS
CP
BRKR
ETSY
BMI
EQH
RRC
TWLO
TYL
RY
LPLA
ARE
GPCR
BR
CROX
OLLI
MGM
PATH
FHN
EMN
BG
EG
RVTY
MLM
STLD
NLY
ADT
DNB
CAG
SG
VKTX
TEVA
ITUB
ONC
UPST
DKS
APA
CBOE
AKAM
MAN
PNR
MTZ
THC
ELF
PFG
CIEN
FIX
CVE
WYNN
GFI
AG
PYCR
PLUG
ANF
BHP
OWL
CGNX
EIX
BN
CNI
ALHC
MOS
ALAB
ROL
PTEN
EPD
OZK
SOUN
RHHBY
HLNE
EQNR
SNV
Z
VFC
SXTC
SNX
WING
NGG
EWBC
CPAY
SONY
CLF
INSM
FDS
ITT
PSTG
CG
AIT
HMY
XPEV
H
MAS
LSCC
AVY
MTDR
IPG
AES
WIX
DT
RACE
TKO
MANH
RGLD
OVV
FFIV
BE
MKSI
IOT
SU
UUUU
CE
ASND
ASB
EHC
TDY
DOCS
MTCH
RNR
TXT
SRPT
BULL
ZM
FWONK
FCNCA
TW
ALK
UHS
JAZZ
RIG
KNX
MSGM
OKLO
EXR
ALLE
MGNI
FTV
STE
AGX
RGTI
SN
ESS
XPO
ITGR
PAAS
VIST
COHR
CNM
DOCU
CORT
RGEN
MWA
PLNT
CSL
ONB
SHAK
HL
UAA
KEYS
CPB
CZR
PKG
VOD
TD
TREX
CHRW
ATI
GLBE
PTC
ELS
LYG
CCJ
KBH
PRMB
UMC
AGI
GWRE
NSRGY
ALC
NVT
SCCO
QBTS
TAP
INSP
R
UDR
PEN
ADC
EVR
SBSW
BXP
XP
HSIC
AUR
USFD
PBR.A
AGL
SMX
RBC
TECK
HALO
HSBC
NTRA
VSEC
MPLX
ZBRA
CRDO
U
RNST
CPNG
SF
AYI
PAYC
HRL
VNOM
AOS
UBS
HXL
WHR
SLNO
ARCC
FTI
UTHR
INVH
DTM
BROS
UNM
TMDX
ASX
UBSI
WBA
NBIS
NGD
HTHT
SMMT
JLL
AREC
BWXT
AQN
URBN
KIM
DAY
CWAN
NOK
IQ
AEO
BSY
GH
CCK
RPRX
RRX
OHI
CWST
GGAL
PSN
AIZ
MTN
EXEL
MIDD
NIO
RTO
RBA
VTRS
TRU
PTON
DOC
BYDDY
SWI
RKT
QSR
GTLS
HQY
AGCO
ZION
ALGM
CDE
SSNC
MKTX
CRBG
ALV
LW
FN
TCEHY
PFGC
RUN
NWSA
JHX
J
CHX
QRVO
TTE
EXP
HAS
BOOT
RS
CNK
HST
GEN
DBX
S
EQX
CRS
BBAI
TTAN
LAD
BMRN
FBIN
BERY
PARA
NDSN
FSS
NYT
TRMB
CHRO
YMM
GRAB
AN
WWD
FSM
CHRD
ERIE
BEN
KEX
CLH
MDGL
BIP
BNTX
PVH
FYBR
LRN
MAT
KTOS
QGEN
CNX
ONTO
AS
RXRX
GPI
SMG
DINO
GPK
HRI
FLS
MASI
MUR
MMYT
RTC
GDS
WSC
EXLS
ESTC
LKQ
JKHY
MUSA
FNB
ATAT
RGA
WY
RYAN
GL
INCY
JOBY
DY
SCI
SLG
SIG
BIRK
VIK
DOX
WTFC
LKNCY
MGA
FOUR
BLD
LAMR
DNN
LMB
WEX
GNRC
WAL
CPT
LI
LBRT
NTNX
CORZ
AM
SNDK
CHE
KSS
PRIM
BTE
DB
ADMA
KD
INFA
STNE
CHDN
PBF
BCE
WFRD
BRBR
IDCC
BNS
LNW
TRNO
EPAM
TFX
M
CINF
YETI
BF.B
FRPT
ERJ
SIRI
SOLV
SMR
PCOR
IVZ
ASO
GKOS
MOD
DAR
COOP
DXF
BAM
LEGN
WGS
FLR
JNPR
CX
OPCH
AEG
CBSH
TCBI
MUFG
TM
LSTR
CIVI
LFUS
UGI
GFL
JEF
USAR
TGI
MMSI
TMHC
LITE
GEO
IBP
CW
RPM
AVAV
ATR
ALSN
VLY
TAL
WLK
BBD
DNOW
COMP
INGR
COLM
TPG
AFG
NEOG
BIO
SWTX
AMH
CFLT
CVLT
POST
MFC
MTH
FL
FATN
ULS
WSBC
BZ
BPMC
WBS
AXTA
SSB
EGP
SLM
TGL
MORN
LEVI
PCVX
BPOP
ITRI
ARW
PII
PNFP
OLED
ALIT
AMX
NVMI
ENSG
BB
HOG
