NVDA
TSLA
PLTR
AAPL
META
AMZN
NFLX
MSFT
GOOGL
MSTR
BAC
AVGO
JPM
GOOG
AMD
BRK.B
UNH
WMT
TSM
CRWD
LLY
BA
BABA
COST
APP
JNJ
C
V
PG
ABBV
NOW
ASML
XOM
CRM
HOOD
MU
SPOT
WFC
MRK
CVX
INTC
GS
F
PFE
ORCL
MA
TMO
CVNA
KO
ABT
CAT
ADBE
LIN
UBER
HD
BKNG
TXN
VZ
PM
ACN
COIN
GE
MCD
AXP
MELI
SMCI
PDD
QCOM
NKE
CSCO
TMUS
ISRG
BX
RTX
AMT
GILD
IBM
UAL
PEP
AMGN
AMAT
BMY
TDG
LRCX
HPE
PANW
T
INTU
DIS
MS
PLD
ANET
DHR
PGR
NEM
AAL
TJX
RKLB
MURA
FCX
ETN
KR
BSX
TGT
CMCSA
UNP
MRVL
SBUX
LOW
ABNB
CVS
LMT
SHOP
NU
PYPL
PNC
MMC
HON
UPS
HLT
ADI
KLAC
GEV
SCHW
NEE
SYK
DE
ADP
BDX
VRTX
SPGI
DASH
KVUE
ORLY
NOC
VST
COP
DELL
BULL
CDNS
KKR
CMG
MCK
REGN
TEAM
TTD
BLK
FI
USB
HWM
VRT
MDT
AJG
APLD
HUBS
GM
GD
COF
FICO
HIMS
ICE
ELV
SHW
JD
ZTS
SOFI
DAL
CME
RCL
CCL
APH
GOLD
PATH
CTSH
IDXX
AZO
APO
LNG
DKNG
LULU
MP
FLUT
IBKR
MDLZ
SNPS
MARA
NVO
CSX
CTAS
SLB
ERIC
YUM
RMD
RDDT
MO
DHI
AIG
ROST
TT
RBLX
GDDY
CHTR
CI
OXY
ECL
CYBR
CEG
ZS
KMI
SNOW
EXC
CL
MMM
DOW
FTNT
TFC
DLTR
EOG
HCA
MCO
MPWR
GEHC
TRI
WDAY
EA
VLO
NXPI
HUM
TRV
ACI
CLS
OST
ALL
FSLR
HDB
AON
AEM
DXCM
CB
WBD
WMB
URI
BRK.A
ARM
COR
CAH
AGNC
WM
CRL
AZN
EMR
APD
MSI
MPC
STZ
DECK
DDOG
BK
DVN
CPRT
INFY
O
PINS
WELL
RSG
STLA
DUK
LHX
EQIX
ADSK
AVB
SNY
AEP
JCI
BCS
TTWO
CRWV
NCLH
SE
BP
MAR
AMCR
CFG
EQT
CRH
CCI
KMB
KDP
OKE
CARR
ED
MCHP
FERG
EW
FAST
SHEL
MTD
OMC
ARGX
PBR
ETR
DG
PH
BBY
FIS
IONQ
CHD
COHR
MDB
EXE
RIVN
ARES
ALNY
MAA
LYB
BURL
TEL
SAP
D
TRGP
MOH
OKTA
DLR
ULTA
ON
LUV
EBAY
KGC
ZBH
GIS
STX
KHC
EAT
PSX
ATO
BECN
PCAR
FDX
MTB
CNP
WEC
BRO
WSM
WDC
PWR
TEM
BTG
TSCO
WCN
XYZ
ALB
NET
SO
VALE
STRL
DRI
VEEV
FANG
CASY
HPQ
KEY
EXPE
HES
TAP
AWK
CSGP
NTAP
BIDU
LDOS
KMX
IT
HUBB
FUTU
HSY
FOXA
AFRM
MSCI
CLSK
HBAN
LYV
LVS
PSA
CELH
BTI
SRE
VICI
RL
EFX
CMS
CHWY
VMC
SNAP
BKR
CBRE
AXON
TCOM
DGX
ALC
DPZ
INFA
GLW
RJF
ACT
RF
DTE
DOCU
XPEV
ROK
PCG
ESS
SFM
FITB
JBHT
TPR
IBN
LCID
MRNA
CNC
CHKP
IQV
UPST
CG
NSC
ROKU
MNST
ROP
SYF
SPG
BLDR
HAL
AMP
VRSK
NVS
XEL
WTW
VTR
GME
BJ
ET
SMMT
X
ANSS
YUMC
MGM
FNV
FDS
CAVA
PPG
MET
CMI
PAYX
NBIX
CP
EMN
SBAC
BN
BAH
RH
OWL
PFG
SYY
DVA
ONON
PHM
CF
XYL
NVR
CRS
TER
RIOT
GWW
MEDP
FHN
TROW
JNPR
ASTS
RIO
FND
LEN
HII
DKS
JBL
AEE
WPM
OKLO
MLM
MAS
ITW
PRU
EME
NTNX
DD
HLN
CLX
EXR
ODFL
WAT
ADMA
OTIS
DFS
LEGN
NUE
AVY
NLY
AU
DT
APTV
NRG
EL
FTV
RBRK
ESTC
ENTG
TRU
WYNN
CNH
EVRG
STT
TOST
MNDY
PNFP
SKX
AER
DUOL
LII
EPD
SNA
FCNCA
CPNG
UL
ZBRA
BAX
ENB
ALGM
SNYR
CART
UTHR
CTVA
ZM
VRSN
NTRS
CDW
A
PODD
PEG
VRN
GAP
SWKS
SOUN
HSBC
CLH
ALAB
THC
TW
LPLA
LH
CBOE
RGTI
AVTR
TWLO
ITUB
ENPH
AFL
ANF
HIG
SAIA
HEI
GSK
BBWI
SWK
GPN
CCEP
WING
IP
JAZZ
APA
LVMUY
AES
DJT
ADC
NOK
SW
WST
IR
HRB
ES
Z
MUSA
CSL
UNM
STLD
SGI
AG
CROX
ADM
EQR
NTRA
GPC
FTAI
CACI
ITGR
USAR
AME
VERV
SBEV
QSR
GWRE
NGG
BIIB
ALGN
SRPT
SHAK
TKO
HOLX
ALV
EIX
MKC
JBLU
IOT
CNQ
LYG
EQH
URBN
UDR
NDAQ
ETSY
PYCR
CYTK
RACE
PRMB
ICLR
ACGL
TMC
SU
DOV
K
XPO
NMAX
HST
RVTY
U
RGLD
FFIV
CAG
YMM
TYL
SNX
AR
MKTX
INSM
SF
IQ
SJM
ARCC
TCEHY
GRMN
TMDX
BUD
CTRA
CPT
CPAY
WSC
COO
QBTS
HTHT
RXRX
AYI
FBIN
SCCO
AZEK
ADT
MIDD
LYFT
UAA
FE
WSO
CNI
DOCS
ATSG
PLUG
TOL
WAB
FIX
NIO
SSNC
GTLB
PNW
IPG
QRVO
BMRN
RGEN
EG
NI
BOOT
ARE
LNT
GGAL
INVH
STM
AA
BR
VLTO
MKSI
BBAI
IRM
LITE
RY
TDY
ALLY
QGEN
VOD
TXRH
TLN
CPB
CE
CCJ
TEVA
BG
ACHR
PAYC
ITT
KEYS
VFC
NBIS
W
CVE
BNTX
RPRX
BPMC
OVV
FR
TPL
CRDO
WRB
FNF
AOS
PTGX
ALLE
EVR
EPAM
PSTG
HL
CMA
REXR
UHS
PEN
MANH
BXP
MMYT
PAAS
SN
PR
MTCH
FN
ONC
BHP
FTI
EXPD
DNN
CHRW
AXSM
GH
FSM
NTR
TSN
KNX
CDE
OLLI
BEKE
LNW
VTRS
SCBFY
IVZ
VKTX
QFIN
ALK
RKT
NSRGY
FIVE
CORT
DAY
MOS
SCI
AEG
INCY
CRSP
NTES
NWG
HSIC
COOP
PKG
PPL
LAMR
CAR
NVT
DEO
OZK
WHR
EWBC
ZIM
DWTX
FLEX
WEN
ARW
ELF
DTM
DBX
OC
DOC
WAL
EXEL
TTAN
ILMN
PNR
MTDR
WY
AN
USFD
WBA
MPLX
PTC
OHI
EHC
KIM
WPC
GLOB
PARA
WIX
IREN
SWI
MKL
LW
BE
LSCC
MTZ
